Data	Concentra_up	Concentra_down
7/13/2015	21.63	9.39
7/15/2015	25.13	27.34
7/16/2015	26.83	28.94
7/17/2015	28.47	39.47
7/18/2015	30.03	24.97
7/19/2015	31.48	34.90
7/20/2015	32.80	39.22
7/21/2015	33.97	45.15
7/22/2015	34.98	35.55
7/23/2015	35.79	37.65
7/24/2015	36.39	23.91
7/25/2015	36.75	18.71
7/26/2015	36.86	17.56
7/27/2015	36.68	15.39
7/28/2015	36.21	21.11
7/29/2015	35.42	19.26
7/30/2015	34.28	23.40
7/31/2015	32.78	24.13
8/1/2015	31.07	34.10
8/2/2015	30.03	36.63
8/3/2015	30.71	42.19
8/4/2015	33.48	47.97
8/5/2015	35.98	42.71
8/6/2015	35.91	27.35
8/7/2015	33.97	47.65
8/8/2015	31.52	46.17
8/9/2015	29.45	30.35
8/10/2015	28.52	24.69
8/11/2015	29.51	37.53
8/12/2015	32.39	49.26
8/13/2015	33.98	34.36
8/14/2015	31.51	20.86
8/15/2015	27.12	28.80
8/16/2015	24.18	29.10
8/17/2015	26.07	19.03
8/18/2015	33.90	33.02
8/19/2015	39.75	37.10
8/20/2015	36.44	40.29
8/21/2015	28.67	48.00
8/22/2015	22.70	49.62
8/23/2015	19.13	39.82
8/24/2015	17.14	48.32
8/25/2015	15.92	85.05
8/26/2015	15.08	59.52
8/27/2015	15.96	31.83
8/29/2015	25.07	45.90
8/30/2015	30.05	38.32
8/31/2015	32.72	42.99
9/1/2015	32.24	23.50
9/2/2015	32.06	29.13
9/3/2015	35.02	16.15
9/4/2015	37.09	15.53
9/5/2015	33.97	19.19
9/6/2015	27.04	23.13
9/7/2015	19.09	34.48
9/8/2015	12.92	32.76
9/9/2015	10.58	27.75
9/10/2015	11.17	33.83
9/11/2015	13.26	41.66
9/12/2015	16.22	51.65
9/13/2015	19.66	36.19
9/14/2015	23.16	48.45
9/15/2015	26.31	49.49
9/16/2015	28.69	48.12
9/17/2015	30.07	67.15
9/18/2015	30.85	62.26
9/19/2015	31.50	51.10
9/20/2015	31.98	17.78
9/21/2015	32.14	16.02
9/22/2015	34.01	22.62
9/23/2015	44.07	27.78
9/24/2015	53.84	28.88
9/25/2015	53.54	22.58
9/26/2015	45.23	16.80
9/27/2015	33.95	9.33
9/28/2015	24.73	18.30
9/29/2015	21.21	29.29
9/30/2015	21.45	24.98
10/1/2015	22.65	18.16
10/2/2015	24.12	21.38
10/3/2015	25.71	21.45
10/4/2015	27.24	19.30
10/5/2015	28.56	22.92
10/6/2015	29.50	30.67
10/7/2015	29.68	34.69
10/8/2015	27.76	41.15
10/9/2015	23.03	42.71
10/10/2015	18.12	49.44
10/11/2015	16.50	51.23
10/12/2015	21.64	45.49
10/13/2015	33.55	58.42
10/14/2015	38.38	66.41
10/15/2015	25.70	60.49
10/16/2015	12.57	84.61
10/17/2015	17.01	91.76
10/18/2015	33.32	50.06
10/19/2015	49.87	46.77
10/20/2015	55.05	25.72
10/21/2015	42.02	28.29
10/22/2015	23.08	29.72
10/24/2015	9.03	30.51
10/25/2015	11.20	11.43
10/26/2015	15.45	14.09
10/27/2015	19.18	23.92
10/28/2015	21.53	31.90
10/29/2015	22.24	22.90
10/30/2015	21.66	40.42
10/31/2015	20.27	26.58
11/1/2015	18.58	18.98
11/2/2015	17.09	16.59
11/3/2015	16.28	19.01
11/4/2015	16.53	8.46
11/5/2015	17.69	15.93
11/6/2015	19.50	18.64
11/7/2015	21.68	19.39
11/8/2015	23.96	18.38
11/10/2015	27.72	22.43
11/11/2015	28.67	31.94
11/12/2015	28.66	44.62
11/13/2015	27.58	21.92
11/14/2015	25.47	20.82
11/15/2015	22.89	15.36
11/17/2015	19.13	26.58
11/18/2015	19.05	26.09
11/19/2015	19.57	31.13
11/20/2015	19.84	41.21
11/21/2015	19.73	35.42
11/22/2015	19.29	23.45
11/23/2015	18.57	17.58
11/24/2015	17.88	14.92
11/25/2015	18.58	10.79
11/26/2015	21.57	12.65
11/27/2015	24.73	18.10
11/28/2015	25.88	21.09
12/1/2015	24.39	16.75
12/3/2015	26.49	16.68
12/4/2015	26.09	21.77
12/5/2015	24.66	26.30
12/6/2015	23.00	13.83
12/7/2015	21.94	11.36
12/8/2015	22.03	33.69
12/9/2015	22.77	7.04
12/10/2015	23.42	8.35
12/11/2015	23.43	10.74
12/14/2015	19.74	9.60
12/15/2015	19.22	24.35
12/16/2015	19.81	24.82
12/17/2015	20.52	25.51
12/18/2015	20.32	21.85
12/19/2015	19.26	16.18
12/20/2015	17.64	10.45
12/21/2015	15.80	7.76
12/23/2015	12.32	6.68
12/24/2015	10.80	13.27
12/25/2015	9.49	12.61
12/27/2015	7.62	17.78
12/28/2015	7.15	21.92
12/30/2015	7.31	13.14
1/5/2016	19.46	0.00
1/7/2016	25.93	0.00
1/13/2016	11.02	0.00
1/15/2016	11.07	0.00
1/19/2016	18.87	0.00
1/21/2016	26.37	0.00
1/25/2016	13.34	6.87
1/27/2016	20.69	9.81
1/28/2016	16.76	10.87
1/29/2016	11.73	11.92
1/30/2016	12.34	13.61
1/31/2016	17.48	14.40
2/1/2016	24.05	15.10
2/2/2016	28.96	14.81
2/3/2016	29.90	17.70
2/4/2016	27.62	12.87
2/5/2016	23.61	14.19
2/6/2016	19.15	15.55
2/7/2016	15.46	11.02
2/8/2016	13.77	7.91
2/9/2016	14.78	8.31
2/10/2016	17.12	10.59
2/11/2016	18.89	11.34
2/12/2016	18.13	16.96
2/13/2016	13.67	17.97
2/15/2016	3.00	10.19
2/16/2016	2.70	11.39
2/18/2016	14.68	6.81
2/21/2016	14.34	20.48
2/22/2016	12.40	19.64
2/23/2016	12.20	15.07
2/24/2016	13.48	12.52
2/25/2016	15.44	7.97
2/26/2016	16.67	11.76
2/27/2016	16.11	12.49
2/28/2016	14.59	12.55
2/29/2016	13.45	16.31
3/1/2016	13.53	22.66
3/2/2016	13.82	26.08
3/3/2016	13.25	16.61
3/4/2016	12.37	18.92
3/5/2016	12.14	18.20
3/6/2016	13.52	10.56
3/7/2016	16.68	8.36
3/8/2016	18.59	7.85
3/9/2016	16.68	11.13
3/10/2016	13.35	13.31
3/11/2016	11.52	14.12
3/12/2016	11.12	11.50
3/13/2016	11.32	9.93
3/14/2016	11.32	8.60
3/15/2016	10.70	9.91
3/16/2016	10.70	17.05
3/17/2016	12.54	4.14
3/18/2016	15.75	15.47
3/19/2016	19.41	11.20
3/20/2016	22.63	10.79
3/21/2016	24.69	8.33
3/22/2016	25.65	16.04
3/23/2016	25.76	4.90
3/25/2016	24.44	20.07
3/26/2016	23.51	12.63
3/27/2016	22.73	24.10
3/28/2016	22.35	12.90
3/29/2016	22.32	9.35
3/30/2016	21.34	15.22
3/31/2016	18.27	28.22
4/1/2016	13.80	17.53
4/2/2016	9.08	13.65
4/3/2016	5.27	11.71
4/4/2016	3.27	6.56
4/5/2016	2.97	9.44
4/6/2016	3.95	20.25
4/7/2016	5.58	18.45
4/8/2016	7.16	26.10
4/9/2016	8.00	28.23
4/10/2016	7.40	19.18
4/18/2016	22.55	17.75
4/19/2016	18.87	21.52
4/20/2016	25.10	22.51
4/21/2016	34.37	19.06
4/22/2016	39.82	16.70
4/23/2016	36.57	34.62
4/24/2016	27.63	18.62
4/25/2016	18.02	25.39
4/26/2016	12.72	27.33
4/27/2016	14.83	32.29
4/28/2016	19.85	41.30
4/29/2016	22.68	37.80
4/30/2016	23.52	55.28
5/1/2016	23.89	42.57
5/2/2016	25.33	50.93
5/3/2016	28.84	39.96
5/4/2016	33.36	42.34
5/5/2016	36.88	45.33
5/6/2016	35.62	33.27
5/7/2016	27.17	39.28
5/8/2016	16.40	44.42
5/9/2016	10.01	39.00
5/10/2016	12.53	26.81
5/11/2016	19.82	22.09
5/12/2016	25.55	33.03
5/13/2016	25.11	38.91
5/14/2016	20.68	55.55
5/15/2016	16.16	49.85
5/16/2016	15.44	58.86
5/17/2016	20.35	48.34
5/18/2016	24.45	40.78
5/19/2016	21.68	49.08
5/20/2016	15.77	45.27
5/21/2016	11.79	49.88
5/22/2016	10.43	33.59
5/23/2016	11.32	15.19
5/24/2016	14.05	14.94
5/25/2016	17.82	15.32
5/26/2016	20.15	17.27
5/28/2016	15.66	22.56
5/29/2016	12.25	27.10
5/30/2016	10.92	29.99
5/31/2016	12.74	43.23
6/1/2016	14.65	25.04
6/2/2016	13.59	25.40
6/3/2016	10.75	31.24
6/4/2016	8.13	29.69
6/5/2016	6.73	39.69
6/6/2016	7.31	50.96
6/7/2016	10.62	50.81
6/8/2016	16.53	45.17
6/9/2016	21.37	49.68
6/10/2016	21.84	27.87
6/11/2016	19.59	26.59
6/12/2016	17.51	18.89
6/13/2016	18.49	27.10
6/14/2016	23.89	25.52
6/15/2016	28.96	36.59
6/16/2016	28.89	34.49
6/17/2016	24.67	38.68
6/18/2016	18.71	42.22
6/19/2016	13.43	25.06
6/20/2016	11.22	40.35
6/21/2016	14.50	34.67
6/22/2016	23.74	41.03
6/23/2016	31.76	34.79
6/24/2016	31.70	30.98
6/25/2016	25.72	45.54
6/26/2016	18.21	49.36
6/27/2016	13.58	58.91
6/28/2016	14.55	50.01
6/29/2016	17.15	19.85
6/30/2016	17.17	22.69
7/1/2016	16.13	38.53
7/2/2016	16.33	40.15
7/3/2016	17.51	44.03
7/4/2016	18.76	38.07
7/5/2016	19.16	82.80
7/6/2016	18.40	34.87
7/7/2016	18.55	56.13
7/8/2016	21.51	25.79
7/9/2016	26.07	16.58
7/10/2016	30.24	12.99
7/11/2016	32.05	17.47
7/12/2016	30.98	19.52
7/13/2016	32.42	9.39
7/15/2016	47.36	27.34
7/16/2016	45.72	28.94
7/17/2016	38.21	39.47
7/18/2016	30.20	24.97
7/19/2016	27.08	34.90
7/20/2016	31.75	39.22
7/21/2016	37.21	45.15
7/22/2016	36.32	35.55
7/23/2016	31.22	37.65
7/24/2016	26.39	23.91
7/25/2016	26.27	18.71
7/26/2016	33.12	17.56
7/27/2016	40.27	15.39
7/28/2016	41.21	21.11
7/29/2016	38.88	19.26
7/30/2016	37.53	23.40
7/31/2016	37.12	24.13
8/1/2016	36.57	34.10
8/2/2016	34.77	36.63
8/4/2016	31.35	47.97
8/5/2016	37.22	42.71
8/6/2016	45.66	27.35
8/7/2016	51.30	47.65
8/8/2016	48.79	46.17
8/9/2016	36.15	30.35
8/10/2016	24.99	24.69
8/11/2016	25.88	37.53
8/12/2016	31.58	49.26
8/13/2016	32.86	34.36
8/14/2016	30.22	20.86
8/15/2016	26.64	28.80
8/16/2016	25.07	29.10
8/17/2016	27.31	19.03
8/18/2016	30.54	33.02
8/19/2016	31.60	37.10
8/20/2016	30.59	40.29
8/22/2016	25.92	49.62
8/23/2016	24.06	39.82
8/24/2016	23.73	48.32
8/25/2016	25.42	85.05
8/26/2016	28.03	59.52
8/27/2016	30.24	31.83
8/29/2016	31.12	45.90
8/30/2016	28.90	38.32
8/31/2016	24.90	42.99
9/1/2016	21.66	23.50
9/2/2016	21.44	29.13
9/3/2016	23.13	16.15
9/4/2016	24.75	15.53
9/5/2016	24.34	19.19
9/6/2016	20.79	23.13
9/7/2016	16.51	34.48
9/8/2016	14.76	32.76
9/9/2016	18.82	27.75
9/10/2016	30.34	33.83
9/11/2016	44.47	41.66
9/12/2016	54.77	51.65
9/13/2016	54.77	36.19
9/14/2016	41.80	48.45
9/15/2016	28.39	49.49
9/16/2016	26.85	48.12
9/17/2016	33.53	67.15
9/18/2016	40.80	62.26
9/19/2016	41.04	51.10
9/20/2016	30.75	17.78
9/21/2016	23.01	16.02
9/22/2016	29.63	22.62
9/23/2016	40.70	27.78
9/24/2016	44.16	28.88
9/25/2016	41.01	22.58
9/26/2016	35.49	16.80
9/27/2016	31.87	9.33
9/29/2016	34.37	29.29
10/1/2016	27.82	18.16
10/2/2016	22.69	21.38
10/3/2016	19.17	21.45
10/4/2016	18.59	19.30
10/5/2016	19.02	22.92
10/6/2016	18.50	30.67
10/7/2016	18.07	34.69
10/8/2016	19.03	41.15
10/9/2016	20.55	42.71
10/10/2016	21.30	49.44
10/11/2016	19.95	51.23
10/12/2016	16.07	45.49
10/13/2016	12.93	58.42
10/14/2016	13.72	66.41
10/15/2016	17.70	60.49
10/16/2016	23.12	84.61
10/17/2016	28.26	91.76
10/18/2016	31.36	50.06
10/19/2016	30.71	46.77
10/20/2016	25.61	25.72
10/21/2016	19.56	28.29
10/22/2016	16.17	29.72
10/24/2016	15.41	30.51
10/25/2016	15.61	11.43
10/26/2016	14.99	14.09
10/27/2016	14.35	23.92
10/28/2016	14.59	31.90
10/29/2016	15.37	22.90
10/30/2016	16.05	40.42
10/31/2016	15.97	26.58
11/1/2016	14.91	18.98
11/2/2016	14.32	16.59
11/3/2016	15.38	19.01
11/4/2016	16.58	8.46
11/5/2016	16.29	15.93
11/6/2016	15.10	18.64
11/7/2016	14.14	19.39
11/8/2016	14.56	18.38
11/10/2016	19.10	22.43
11/11/2016	19.23	31.94
11/12/2016	17.57	44.62
11/13/2016	15.00	21.92
11/14/2016	12.39	20.82
11/15/2016	10.63	15.36
11/17/2016	13.16	26.58
11/18/2016	19.22	26.09
11/19/2016	28.51	31.13
11/20/2016	36.22	41.21
11/21/2016	36.44	35.42
11/22/2016	26.71	23.45
11/23/2016	18.54	17.58
11/24/2016	22.29	14.92
11/25/2016	29.68	10.79
11/26/2016	30.61	12.65
11/27/2016	26.23	18.10
11/28/2016	20.46	21.09
11/29/2016	17.27	20.98
12/1/2016	20.64	16.75
12/3/2016	11.79	16.68
12/4/2016	6.20	21.77
12/5/2016	5.82	26.30
12/6/2016	13.22	13.83
12/7/2016	20.43	11.36
12/8/2016	19.64	33.69
12/9/2016	14.17	7.04
12/10/2016	9.17	8.35
12/13/2016	8.16	3.31
12/14/2016	13.40	9.60
12/15/2016	17.19	24.35
12/16/2016	16.09	24.82
12/17/2016	13.10	25.51
12/18/2016	11.91	21.85
12/19/2016	12.36	16.18
12/20/2016	13.36	10.45
12/21/2016	13.79	7.76
12/23/2016	11.42	6.68
12/24/2016	10.17	13.27
12/25/2016	9.30	12.61
12/27/2016	8.57	17.78
12/28/2016	8.61	21.92
12/30/2016	9.34	13.14
1/12/2017	13.40	0.00
1/14/2017	11.15	0.00
1/17/2017	10.15	0.00
1/19/2017	9.94	0.00
1/23/2017	9.40	2.93
1/25/2017	13.41	6.75
1/28/2017	18.92	10.87
1/29/2017	18.46	11.92
1/30/2017	15.95	13.61
